categoria,atributo,valor,fuente
Computadores,generacion_procesador,Apple A18 (TSMC N3),solotodo
Computadores,generacion_procesador,Apple Avalanche / Blizzard (5 nm),solotodo
Computadores,generacion_procesador,Apple Firestorm / Icestorm (5 nm),solotodo
Computadores,generacion_procesador,Apple M3 (3 nm),solotodo
Computadores,generacion_procesador,Apple M4 (TSMC N3),solotodo
Computadores,generacion_procesador,Apple M5 (TSMC N3),solotodo
Computadores,generacion_procesador,Arrandale (32 nm),solotodo
Computadores,generacion_procesador,Arrandale ULV (32 nm),solotodo
Computadores,generacion_procesador,Arrow Lake-H (TSMC N3B),solotodo
Computadores,generacion_procesador,Arrow Lake-HX (TSMC N6),solotodo
Computadores,generacion_procesador,Arrow Lake-U (TSMC N5),solotodo
Computadores,generacion_procesador,Barcelo (Zen 3) (7 nm),solotodo
Computadores,generacion_procesador,Barcelo-R (Zen 3) (7 nm),solotodo
Computadores,generacion_procesador,Bobcat (40 nm),solotodo
Computadores,generacion_procesador,Braswell (14 nm),solotodo
Computadores,generacion_procesador,Brazos (40 nm),solotodo
Computadores,generacion_procesador,Brazos 2.0 (40 nm),solotodo
Computadores,generacion_procesador,Bristol Ridge (28 nm),solotodo
Computadores,generacion_procesador,Broadwell (14 nm),solotodo
Computadores,generacion_procesador,Carrizo (28 nm),solotodo
Computadores,generacion_procesador,Carrizo-L (28 nm),solotodo
Computadores,generacion_procesador,Caspian (45 nm),solotodo
Computadores,generacion_procesador,Cedar Trail-M (32 nm),solotodo
Computadores,generacion_procesador,Cedarview (32 nm),solotodo
Computadores,generacion_procesador,Cezanne (Zen 3) (TSMC N7),solotodo
Computadores,generacion_procesador,Champlain (45 nm),solotodo
Computadores,generacion_procesador,Cherry Trail (14 nm),solotodo
Computadores,generacion_procesador,Clarksfield (45 nm),solotodo
Computadores,generacion_procesador,Clovertrail (32 nm),solotodo
Computadores,generacion_procesador,Coffe Lake (14 nm),solotodo
Computadores,generacion_procesador,Coffee Lake-H (14 nm),solotodo
Computadores,generacion_procesador,Coffee Lake-U (14 nm),solotodo
Computadores,generacion_procesador,Comet Lake (14 nm),solotodo
Computadores,generacion_procesador,Comet Lake-H (14 nm),solotodo
Computadores,generacion_procesador,Comet Lake-S (14 nm),solotodo
Computadores,generacion_procesador,Comet Lake-U (14 nm),solotodo
Computadores,generacion_procesador,Comet Lake-Y (14 nm),solotodo
Computadores,generacion_procesador,Conesus (45 nm),solotodo
Computadores,generacion_procesador,Congo (65 nm),solotodo
Computadores,generacion_procesador,Cortex (28 nm),solotodo
Computadores,generacion_procesador,Cortex A9 (40 nm),solotodo
Computadores,generacion_procesador,Diamondville (45 nm),solotodo
Computadores,generacion_procesador,Dothan (90 nm),solotodo
Computadores,generacion_procesador,Dragon Range (Zen 4) (5 nm),solotodo
