categoria,atributo,valor,atributo_complementario,complemento
Computadores,procesador_principal,AMD Athlon II Dual-Core M300,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II Dual-Core M300,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II Dual-Core M320,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II Dual-Core M320,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II Dual-Core M340,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II Dual-Core M340,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II N330 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II N330 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II N350 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II N350 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II N370 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II N370 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II Neo K125,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon II Neo K125,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon II Neo K145,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon II Neo K145,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon II Neo K325 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II Neo K325 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II Neo K345 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II Neo K345 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II Neo N36L Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II Neo N36L Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II P320 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II P320 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II P340 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II P340 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II P360 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II P360 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 210e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 210e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 215,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 215,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 220,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 220,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 235e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 235e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 240,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 240,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 240e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 240e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 245,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 245,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 245e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 245e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 250,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 250,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 250e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 250e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 250u,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 250u,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 255,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 255,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 260,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 260,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 260u,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 260u,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 265,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 265,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 270,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 270,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 270u,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 270u,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 280,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 280,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 4300e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 4300e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 4400e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 4400e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 4450e,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 4450e,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B22,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B22,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B24,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B24,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B26,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B26,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B28,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon II X2 B28,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon II X3 400e,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 400e,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 405e,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 405e,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 415e,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 415e,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 420e,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 420e,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 425,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 425,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 435,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 435,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 440,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 440,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 445,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 445,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 450,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 450,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 455,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 455,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 460,nucleos_procesador,3
Computadores,procesador_principal,AMD Athlon II X3 460,hilos_procesador,3
Computadores,procesador_principal,AMD Athlon II X4 553,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 553,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 555,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 555,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 557,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 557,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 559,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 559,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon II X4 600e,nucleos_procesador,4
